gesture,rep,t_ms,gx,gy,gz
down,6,10,-5.250,10.313,7.000
down,6,21,-4.562,9.438,6.125
down,6,31,-3.688,8.375,5.375
down,6,41,-2.313,6.437,3.625
down,6,51,-1.375,5.187,1.625
down,6,61,-0.500,4.312,0.062
down,6,71,0.812,2.813,-0.875
down,6,81,1.687,1.062,-1.375
down,6,91,1.937,-0.875,-2.188
down,6,101,1.500,-2.625,-3.000
down,6,111,1.750,-2.875,-2.438
down,6,121,4.125,-0.812,0.625
down,6,131,8.063,3.625,5.062
down,6,141,13.000,9.875,10.313
down,6,151,17.000,15.438,15.375
down,6,161,16.875,14.250,16.437
down,6,171,13.625,7.062,14.125
down,6,181,4.875,-9.563,6.625
down,6,191,-5.625,-26.500,-2.750
down,6,201,-16.625,-43.000,-13.563
down,6,211,-25.937,-58.375,-25.562
down,6,221,-27.562,-64.313,-31.562
down,6,231,-24.500,-65.000,-34.188
down,6,241,-19.187,-62.875,-34.063
down,6,251,-16.937,-62.375,-33.125
down,6,261,-13.938,-62.688,-30.937
down,6,271,-9.125,-61.250,-29.000
down,6,281,-3.563,-57.063,-26.000
down,6,291,0.687,-49.000,-18.875
down,6,301,0.187,-41.688,-11.375
down,6,311,-5.687,-34.438,-5.250
down,6,321,-30.375,-28.125,-3.313
down,6,331,-64.375,-24.937,-2.938
down,6,341,-93.500,-15.375,1.625
down,6,351,-107.000,10.750,11.250
down,6,361,-112.188,34.000,17.562
down,6,371,-138.500,50.563,23.500
down,6,381,-179.375,53.500,27.812
down,6,391,-217.500,43.250,36.625
down,6,401,-237.375,11.625,56.750
down,6,411,-238.250,-16.750,74.875
down,6,421,-239.812,-42.563,88.375
down,6,431,-246.750,-72.500,97.063
down,6,441,-250.500,-88.875,101.375
down,6,451,-249.750,-85.625,106.313
down,6,461,-245.250,-47.063,112.375
down,6,471,-237.750,2.000,112.813
down,6,481,-225.000,77.250,98.625
down,6,491,-202.687,143.937,70.875
down,6,501,-182.250,205.875,31.312
down,6,511,-154.125,260.250,-22.187
down,6,521,-127.625,278.937,-58.438
down,6,531,-97.563,274.562,-81.000
down,6,541,-61.688,236.750,-83.313
down,6,551,-39.750,183.125,-68.938
down,6,561,-25.312,119.000,-47.688
down,6,571,-14.563,42.563,-16.125
down,6,581,-6.312,-5.000,9.250
down,6,591,3.875,-35.000,28.812
down,6,601,17.437,-50.313,38.313
down,6,611,23.812,-57.375,32.938
down,6,621,26.062,-79.063,19.312
down,6,631,32.438,-95.813,17.437
down,6,641,45.063,-95.250,24.875
down,6,651,65.813,-74.000,33.938
down,6,661,83.375,-56.875,36.625
down,6,671,97.000,-48.500,36.500
down,6,681,103.750,-49.750,34.938
down,6,691,102.250,-57.438,32.000
down,6,701,97.313,-68.750,25.062
down,6,711,88.438,-86.813,9.125
down,6,721,82.875,-102.625,-7.500
down,6,731,81.250,-113.250,-27.750
down,6,741,84.813,-110.375,-40.438
down,6,751,91.063,-95.125,-48.125
down,6,761,99.250,-70.375,-46.688
down,6,771,100.500,-54.688,-40.375
down,6,781,93.375,-45.438,-35.500
down,6,791,72.250,-42.563,-30.875
down,6,801,52.250,-44.375,-23.750
down,6,811,37.875,-45.625,-13.625
down,6,821,27.500,-39.625,-1.437
down,6,831,23.187,-24.750,8.438
down,6,841,27.750,4.062,21.125
down,6,851,55.063,65.375,40.188
down,6,861,89.688,125.438,50.500
down,6,871,119.563,164.312,43.313
down,6,881,124.000,146.250,29.750
down,6,891,129.312,110.188,23.937
down,6,901,143.375,64.875,18.750
down,6,911,151.312,30.250,7.375
down,6,921,150.750,2.688,-8.125
down,6,931,132.562,-11.750,-23.625
down,6,941,107.063,-7.875,-31.875
down,6,951,82.188,7.187,-39.375
down,6,961,62.188,29.312,-46.000
down,6,971,57.688,39.625,-41.813
down,6,981,60.875,37.438,-29.312
down,6,991,66.813,26.187,-20.125
down,7,1,-4.375,-5.562,-4.812
down,7,11,-5.437,-9.375,-7.000
down,7,21,-7.812,-16.000,-11.688
down,7,31,-11.438,-23.687,-17.750
down,7,41,-16.750,-34.625,-26.500
down,7,51,-25.500,-53.500,-40.313
down,7,61,-32.875,-71.063,-51.250
down,7,71,-38.500,-88.188,-60.250
down,7,81,-41.188,-105.375,-68.063
down,7,91,-40.875,-114.500,-71.500
down,7,101,-39.875,-119.125,-72.250
down,7,111,-38.125,-118.250,-69.250
down,7,121,-36.313,-113.063,-64.188
down,7,131,-34.313,-106.188,-56.688
down,7,141,-33.875,-98.750,-51.188
down,7,151,-35.750,-94.813,-46.188
down,7,161,-38.000,-92.938,-40.625
down,7,171,-39.625,-98.750,-36.875
down,7,181,-43.938,-111.375,-33.313
down,7,191,-42.250,-118.313,-23.812
down,7,201,-32.500,-115.063,-11.250
down,7,211,-25.250,-110.563,1.000
down,7,221,-24.812,-98.313,15.438
down,7,231,-28.125,-79.500,29.625
down,7,241,-36.000,-57.563,47.125
down,7,251,-57.125,-31.312,71.875
down,7,261,-84.750,-12.688,91.375
down,7,271,-126.438,6.250,112.750
down,7,281,-150.937,19.500,127.500
down,7,291,-158.812,33.188,137.812
down,7,301,-157.062,48.500,136.187
down,7,311,-163.250,56.125,122.563
down,7,321,-180.187,61.063,106.750
down,7,331,-210.312,67.938,92.188
down,7,341,-234.687,77.563,85.500
down,7,351,-251.437,95.625,84.438
down,7,361,-258.750,135.812,86.313
down,7,371,-261.250,182.250,81.125
down,7,381,-265.937,251.375,62.625
down,7,391,-269.500,291.687,44.500
down,7,401,-263.375,314.562,27.687
down,7,411,-240.125,310.500,7.312
down,7,421,-211.437,285.125,-9.188
down,7,431,-180.062,243.687,-24.812
down,7,441,-147.187,176.937,-43.188
down,7,451,-128.062,122.563,-55.313
down,7,461,-112.188,74.563,-60.563
down,7,471,-95.688,26.250,-57.438
down,7,481,-82.500,-4.375,-52.313
down,7,491,-66.000,-22.250,-46.188
down,7,501,-37.188,-36.000,-38.688
down,7,511,-7.187,-49.250,-32.500
down,7,521,31.062,-65.438,-20.812
down,7,531,56.438,-73.063,-8.813
down,7,541,75.500,-76.625,2.063
down,7,551,91.875,-77.688,11.563
down,7,561,101.375,-74.875,19.062
down,7,571,110.813,-69.125,27.625
down,7,581,123.375,-61.625,35.875
down,7,591,132.250,-55.875,40.250
down,7,601,140.000,-48.938,45.188
down,7,611,149.312,-39.000,55.500
down,7,621,155.812,-33.813,63.313
down,7,631,158.187,-38.500,64.625
down,7,641,152.437,-53.125,56.250
down,7,651,143.937,-73.688,40.000
down,7,661,137.437,-94.125,15.813
down,7,671,141.125,-95.750,0.937
down,7,681,153.187,-82.313,-7.812
down,7,691,174.125,-52.125,-10.188
down,7,701,193.687,-21.750,-1.500
down,7,711,213.875,17.250,17.625
down,7,721,221.062,50.188,42.813
down,7,731,206.375,47.813,49.063
down,7,741,186.375,31.500,43.000
down,7,751,174.000,12.125,32.750
down,7,761,171.937,-2.375,26.000
down,7,771,166.500,-23.812,15.438
down,7,781,162.125,-35.875,8.063
down,7,791,164.125,-34.313,7.812
down,7,801,173.250,-18.125,18.000
down,7,811,173.437,-10.688,24.875
down,7,821,161.000,-15.313,24.500
down,7,831,139.625,-25.750,17.312
down,7,841,126.688,-31.312,8.750
down,7,851,115.625,-37.625,-2.688
down,7,861,101.813,-47.000,-17.687
down,7,871,93.500,-49.750,-25.500
down,7,881,90.250,-37.938,-23.312
down,7,891,93.875,-17.875,-15.813
down,7,901,96.813,2.000,-9.563
down,7,911,93.313,16.000,-6.062
down,7,921,83.250,14.813,-5.187
down,7,931,70.500,6.312,-5.125
down,7,941,57.813,-1.562,-6.437
down,7,951,50.813,0.250,-7.375
down,7,961,44.063,6.312,-7.375
down,7,971,39.250,15.313,-4.375
down,7,981,40.313,20.812,-0.375
down,7,991,41.375,21.312,3.125
down,8,1,-8.688,-9.313,-1.687
down,8,11,-11.063,-8.750,-0.187
down,8,21,-12.563,-7.687,0.937
down,8,31,-14.188,-7.250,1.625
down,8,41,-15.813,-8.563,1.500
down,8,51,-15.688,-11.000,0.812
down,8,61,-13.813,-13.875,0.250
down,8,71,-10.125,-17.625,-0.062
down,8,81,-8.375,-21.187,-0.687
down,8,91,-8.938,-25.875,-2.500
down,8,101,-11.875,-34.250,-6.437
down,8,111,-14.563,-43.438,-10.313
