gesture,rep,t_ms,gx,gy,gz
left,5,561,-134.187,16.687,-232.250
left,5,571,-113.813,26.875,-229.625
left,5,581,-100.000,21.250,-229.062
left,5,591,-96.875,1.937,-229.812
left,5,601,-99.500,-15.125,-221.125
left,5,611,-102.438,-11.813,-205.687
left,5,621,-105.750,-0.687,-185.500
left,5,631,-109.000,11.125,-154.187
left,5,641,-108.375,14.875,-129.125
left,5,651,-102.750,13.688,-109.375
left,5,661,-89.813,3.375,-93.125
left,5,671,-75.125,-7.937,-83.063
left,5,681,-51.063,-13.188,-68.688
left,5,691,-31.375,-8.188,-51.500
left,5,701,-16.500,1.625,-27.500
left,5,711,-7.937,15.375,4.250
left,5,721,-8.375,23.937,23.437
left,5,731,-11.875,27.937,36.125
left,5,741,-13.813,26.875,45.125
left,5,751,-9.938,21.187,48.063
left,5,761,-1.187,9.625,48.688
left,5,771,14.063,-12.625,50.813
left,5,781,26.000,-32.063,55.813
left,5,791,35.500,-49.313,62.938
left,5,801,43.438,-55.063,66.188
left,5,811,46.563,-57.063,69.250
left,5,821,47.625,-59.313,78.500
left,5,831,47.813,-60.688,90.938
left,5,841,48.063,-59.438,105.250
left,5,851,50.875,-53.875,118.813
left,5,861,55.875,-47.688,124.875
left,5,871,60.125,-42.250,131.312
left,5,881,63.563,-40.938,143.937
left,5,891,67.375,-43.500,156.875
left,5,901,74.125,-43.313,170.687
left,5,911,85.250,-34.438,189.125
left,5,921,91.625,-23.812,203.750
left,5,931,92.688,-10.625,218.687
left,5,941,88.750,-0.625,227.000
left,5,951,81.375,8.063,232.312
left,5,961,68.500,15.500,236.125
left,5,971,57.438,18.062,237.625
left,5,981,47.125,17.062,238.312
left,5,991,35.938,11.500,237.062
left,6,1,-14.688,4.812,-2.813
left,6,11,-7.375,4.562,-4.250
left,6,21,2.125,3.375,-5.187
left,6,31,8.688,1.875,-4.687
left,6,41,13.563,0.375,-3.250
left,6,51,17.437,-0.437,-2.125
left,6,61,19.625,-0.125,-2.375
left,6,71,21.062,0.375,-2.875
left,6,81,21.312,0.625,-2.688
left,6,91,20.437,0.750,-1.687
left,6,101,18.937,1.062,-0.437
left,6,111,16.562,1.687,1.125
left,6,121,14.375,2.250,3.000
left,6,131,9.688,2.625,6.750
left,6,141,2.625,2.875,10.500
left,6,151,-7.562,4.062,14.375
left,6,161,-21.687,8.313,18.312
left,6,171,-30.500,13.688,19.562
