gesture,rep,t_ms,gx,gy,gz
up,7,921,-102.250,39.125,31.437
up,7,931,-93.188,37.938,30.250
up,7,941,-80.188,33.188,27.375
up,7,951,-64.125,27.500,20.062
up,7,961,-52.188,24.062,11.563
up,7,971,-41.625,19.687,-0.250
up,7,981,-31.437,12.125,-8.625
up,7,991,-23.312,7.625,-13.500
up,8,1,-7.187,0.062,3.250
up,8,11,-5.375,-0.625,2.688
up,8,21,-2.938,-1.687,2.375
up,8,31,-2.000,-3.000,1.750
up,8,41,-2.625,-3.625,0.500
up,8,51,-3.375,-4.125,-2.188
up,8,61,-1.812,-5.062,-4.187
up,8,71,2.375,-7.125,-5.062
