gesture,rep,t_ms,gx,gy,gz
right,4,741,-60.938,165.562,-4.312
right,4,751,-31.500,172.625,-5.875
right,4,761,1.437,172.250,-12.938
right,4,771,38.375,159.187,-27.812
right,4,781,63.875,140.750,-41.063
right,4,791,89.188,120.375,-56.438
right,4,801,118.500,96.625,-68.625
right,4,811,134.375,79.750,-81.625
right,4,821,142.250,61.125,-96.125
right,4,831,140.250,48.500,-103.000
right,4,841,132.312,39.438,-107.688
right,4,851,114.000,34.063,-117.813
right,4,861,95.250,33.688,-128.000
right,4,871,75.688,37.250,-134.000
right,4,881,56.625,50.500,-137.375
right,4,891,47.563,65.938,-139.062
right,4,901,41.750,82.438,-139.437
right,4,911,36.250,102.500,-136.500
right,4,921,30.812,117.688,-130.437
right,4,931,20.000,136.875,-123.750
right,4,941,10.188,151.000,-122.313
right,4,951,0.000,159.687,-121.875
right,4,961,-16.250,154.937,-120.063
right,4,971,-34.750,131.250,-115.125
right,4,981,-56.938,92.438,-105.250
right,4,991,-74.813,47.188,-89.438
right,5,1,6.250,11.938,-14.000
right,5,10,9.563,14.438,-15.250
right,5,21,12.875,15.938,-17.000
right,5,31,13.000,14.375,-18.750
right,5,41,10.500,13.000,-20.250
right,5,51,7.750,11.875,-21.687
right,5,61,4.875,10.188,-22.812
right,5,71,4.375,9.813,-23.437
right,5,81,6.562,12.688,-24.437
right,5,91,13.813,21.187,-25.375
right,5,101,21.312,28.375,-24.500
right,5,111,27.187,31.250,-21.125
right,5,121,30.625,29.125,-12.688
right,5,131,33.125,28.312,-4.312
right,5,141,39.063,32.813,0.750
right,5,151,44.375,40.875,3.000
right,5,161,45.063,40.500,3.813
right,5,171,47.313,27.187,3.063
right,5,181,49.000,9.000,0.062
right,5,191,46.188,-11.500,-4.562
right,5,201,39.375,-34.000,-10.125
right,5,211,40.188,-44.438,-11.813
right,5,221,52.000,-44.063,-9.063
right,5,231,75.875,-27.750,-0.187
right,5,241,87.813,-8.500,11.125
right,5,251,85.938,8.813,25.625
right,5,261,70.938,23.125,45.813
right,5,271,56.500,30.500,62.438
right,5,281,41.188,37.625,83.188
right,5,291,20.750,36.188,99.938
right,5,301,-0.437,21.625,116.688
right,5,311,-37.688,-16.562,134.125
right,5,321,-54.938,-55.438,148.312
right,5,331,-34.938,-84.375,168.000
right,5,341,34.500,-89.938,191.250
right,5,351,84.750,-78.813,199.000
right,5,361,93.563,-75.938,199.125
right,5,371,54.375,-98.125,201.375
